Date,TransactionID,ProductID,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,CustomerID,StaffID,DayOfWeek,TotalSales
2023-01-01 00:00:00,0,0,2,12.53230415,South,Cash,True,Rainy,20.65491393,Poor,Neutral,30,In Store,0,0,Sunday,25.0646083
2023-01-01 01:00:00,1,1,1,7.083069896,South,Cash,False,Rainy,23.54949697,Average,Positive,33,In Store,1,1,Sunday,7.083069896
2023-01-01 02:00:00,2,2,5,6.7360641,North,Cash,True,Rainy,27.154342182855554,Excellent,unknown,43,Phone Order,2,2,Sunday,33.6803205
2023-01-01 03:00:00,3,3,2,7.314823479,North,Cash,False,Cloudy,20.13748325,Poor,Positive,32,Online Order,3,3,Sunday,14.62964696
2023-01-01 04:00:00,4,4,1,7.57772722,East,Credit Card,True,Cloudy,23.02098654,Good,Neutral,58,In Store,4,4,Sunday,7.57772722
2023-01-01 05:00:00,5,1,2,14.56815639,West,Cash,True,Rainy,27.154342182855554,Poor,Neutral,30,Phone Order,5,5,Sunday,29.13631278
2023-01-01 06:00:00,6,1,3,16.11471875,North,Credit Card,False,Cloudy,29.2010277,Excellent,unknown,15,In Store,6,6,Sunday,48.34415626
2023-01-01 07:00:00,7,3,5,12.94987284,West,Online,False,Sunny,27.154342182855554,Average,Positive,16,Online Order,7,7,Sunday,64.74936422
2023-01-01 08:00:00,8,3,4,17.43526599,East,Cash,True,Rainy,27.154342182855554,Poor,Neutral,29,Phone Order,8,8,Sunday,69.74106395
2023-01-01 09:00:00,9,5,2,19.8689484,West,Credit Card,False,Rainy,20.42287011,Average,Neutral,53,In Store,9,9,Sunday,39.7378968
2023-01-01 10:00:00,10,2,3,17.30018944,South,Online,False,Cloudy,27.154342182855554,Good,Neutral,42,In Store,10,10,Sunday,51.90056831
2023-01-01 11:00:00,11,3,4,15.42323561,West,Online,False,Rainy,33.22228729,Poor,Positive,15,In Store,11,11,Sunday,61.69294242
2023-01-01 12:00:00,12,6,4,12.98739049,East,Online,True,Sunny,26.23870481,Poor,Positive,19,Online Order,12,12,Sunday,51.94956197
2023-01-01 13:00:00,13,7,2,11.73279608,East,Credit Card,False,Cloudy,30.80500054,Good,Negative,56,Phone Order,13,13,Sunday,23.46559215
2023-01-01 14:00:00,14,4,1,6.265885708,East,Cash,False,Cloudy,33.77427553,Good,Positive,36,Phone Order,14,14,Sunday,6.265885708
2023-01-01 15:00:00,15,2,2,10.99053123,West,Cash,True,Rainy,26.12060692,Good,Neutral,50,Phone Order,15,15,Sunday,21.98106245
2023-01-01 16:00:00,16,6,3,18.65201955,South,Credit Card,False,Rainy,22.86916057,Excellent,Negative,27,In Store,16,16,Sunday,55.95605866
